OD / in,OD / mm,Order Num,Length / in,Length / mm,Rate / lbs per in,Rate / N per mm,Initial Tension / lbs,Initial Tension / N,Sugg. Max. Defl. / in,Sugg. Max. Defl. / mm,Sugg. Max. Load / lbs,Sugg. Max. Load / N,Wire Dia. / in,Wire Dia. / mm,MAT'L,FNSH
0.063,1.60,80018,.75,19.1,.88,.15,.06,.3,.67,17,.65,2.9,0.009,0.23,MW,N
0.063,1.60,80018S,.75,19.1,.75,.13,.05,.2,.49,13,.42,1.9,0.009,0.23,SST,N
0.063,1.60,80025,.75,19.1,2.5,.44,.1,.4,.42,11,1.1,5.1,0.011,0.28,MW,N
0.063,1.60,80025S,.75,19.1,2.1,.37,.09,.4,.31,7.9,.74,3.3,0.011,0.28,SST,N
0.063,1.60,B-413,1.00,25.4,.34,.06,.06,.2,1.2,32,.48,2.1,0.008,0.20,MW,Z
0.078,1.98,5418,.44,11.1,1.0,.18,.05,.2,.47,12,.54,2.4,0.009,0.23,MW,N
0.078,1.98,O-169,.50,12.7,7.5,1.3,.4,2,.23,5.9,2.1,9.4,0.014,0.36,MW,Z
0.078,1.98,ZZ1-10,1.94,49.2,.60,.11,.2,.8,1.2,30,.88,3.9,0.012,0.30,SST,N
0.094,2.39,B3-3,.25,6.4,20,3.5,.4,2,.10,2.5,2.4,11,0.016,0.41,MW,N
0.094,2.39,B3-8,.34,8.7,.15,.03,.01,.05,1.3,33,.21,.95,0.007,0.18,MW,N
0.094,2.39,80026,.38,9.5,1.2,.21,.05,.2,.47,12,.61,2.7,0.010,0.25,MW,N
0.094,2.39,80026S,.38,9.5,1.0,.18,.04,.2,.35,8.8,.40,1.8,0.010,0.25,SST,N
0.094,2.39,80033,.38,9.5,2.0,.34,.07,.3,.38,9.7,.81,3.6,0.011,0.28,MW,N
0.094,2.39,80033S,.38,9.5,1.7,.29,.06,.2,.28,7.2,.52,2.3,0.011,0.28,SST,N
0.094,2.39,80040,.38,9.5,3.2,.56,.1,.4,.30,7.6,1.1,4.7,0.012,0.30,MW,N
0.094,2.39,80040S,.38,9.5,2.7,.48,.09,.4,.22,5.6,.69,3.1,0.012,0.30,SST,N
0.094,2.39,80047,.38,9.5,4.7,.82,.1,.5,.26,6.5,1.3,5.9,0.013,0.33,MW,N
0.094,2.39,80047S,.38,9.5,4.0,.70,.1,.4,.19,4.8,.86,3.8,0.013,0.33,SST,N
0.094,2.39,ZZ4-36,.38,9.5,5.9,1.0,.2,1,.16,4.0,1.2,5.1,0.014,0.36,SST,N
0.094,2.39,80054,.38,9.5,7.1,1.2,.2,.8,.21,5.3,1.6,7.3,0.014,0.36,MW,N
0.094,2.39,80061,.38,9.7,14,2.5,.2,.8,.14,3.5,2.1,9.6,0.016,0.41,MW,N
0.094,2.39,80061S,.38,9.7,12,2.1,.2,.7,.11,2.7,1.4,6.4,0.016,0.41,SST,N
0.094,2.39,80027,.44,11.1,.92,.16,.05,.2,.61,15,.61,2.7,0.010,0.25,MW,N
0.094,2.39,80027S,.44,11.1,.78,.14,.04,.2,.45,11,.40,1.8,0.010,0.25,SST,N
0.094,2.39,80034,.44,11.1,1.5,.27,.07,.3,.49,12,.81,3.6,0.011,0.28,MW,N
0.094,2.39,80034S,.44,11.1,1.3,.23,.06,.2,.36,9.2,.52,2.3,0.011,0.28,SST,N
0.094,2.39,5453,.44,11.1,2.5,.43,.1,.5,.39,9.9,1.1,4.8,0.012,0.30,MW,Z
0.094,2.39,80041S,.44,11.1,2.0,.36,.09,.4,.30,7.5,.69,3.1,0.012,0.30,SST,N
0.094,2.39,80048,.44,11.1,3.7,.64,.1,.5,.33,8.4,1.3,5.9,0.013,0.33,MW,N
0.094,2.39,80048S,.44,11.1,3.1,.54,.1,.4,.25,6.2,.86,3.8,0.013,0.33,SST,N
0.094,2.39,80055,.44,11.1,5.5,.96,.2,.8,.27,6.8,1.6,7.3,0.014,0.36,MW,N
0.094,2.39,80055S,.44,11.1,4.7,.82,.1,.6,.20,5.0,1.1,4.8,0.014,0.36,SST,N
0.094,2.39,80062,.44,11.2,11,1.9,.2,.8,.18,4.5,2.1,9.6,0.016,0.41,MW,N
0.094,2.39,80062S,.44,11.2,9.4,1.6,.2,.7,.14,3.5,1.4,6.4,0.016,0.41,SST,N
0.094,2.39,80028,.50,12.7,.78,.14,.05,.2,.72,18,.61,2.7,0.010,0.25,MW,N
0.094,2.39,80028S,.50,12.7,.66,.12,.04,.2,.53,14,.40,1.8,0.010,0.25,SST,N
0.094,2.39,80035,.50,12.7,1.2,.22,.07,.3,.60,15,.81,3.6,0.011,0.28,MW,N
0.094,2.39,80035S,.50,12.7,1.0,.18,.06,.2,.45,11,.52,2.3,0.011,0.28,SST,N
0.094,2.39,80042,.50,12.7,2.0,.35,.1,.4,.48,12,1.1,4.7,0.012,0.30,MW,N
0.094,2.39,80042S,.50,12.7,1.7,.30,.09,.4,.35,9.0,.69,3.1,0.012,0.30,SST,N
0.094,2.39,ZZ4-38,.50,12.7,3.0,.52,.2,.8,.41,10,1.4,6.1,0.013,0.33,MW,N
0.094,2.39,80049,.50,12.7,3.1,.53,.1,.5,.40,10,1.3,5.9,0.013,0.33,MW,N
0.094,2.39,80049S,.50,12.7,2.6,.45,.1,.4,.29,7.5,.86,3.8,0.013,0.33,SST,N
0.094,2.39,80056,.50,12.7,4.6,.81,.2,.8,.32,8.2,1.6,7.3,0.014,0.36,MW,N
0.094,2.39,80056S,.50,12.7,3.9,.68,.1,.6,.24,6.0,1.1,4.8,0.014,0.36,SST,N
0.094,2.39,80063,.50,12.7,9.2,1.6,.2,.8,.21,5.4,2.1,9.6,0.016,0.41,MW,N
0.094,2.39,80063S,.50,12.7,7.8,1.4,.2,.7,.16,4.2,1.4,6.4,0.016,0.41,SST,N
0.094,2.39,80029,.63,15.9,.58,.10,.05,.2,.97,25,.61,2.7,0.010,0.25,MW,N
0.094,2.39,80029S,.63,15.9,.49,.09,.04,.2,.72,18,.40,1.8,0.010,0.25,SST,N
0.094,2.39,80036,.63,15.9,.92,.16,.07,.3,.81,21,.81,3.6,0.011,0.28,MW,N
0.094,2.39,80036S,.63,15.9,.78,.14,.06,.2,.60,15,.52,2.3,0.011,0.28,SST,N
0.094,2.39,80043,.63,15.9,1.5,.26,.1,.4,.64,16,1.1,4.7,0.012,0.30,MW,N
0.094,2.39,80043S,.63,15.9,1.3,.22,.09,.4,.47,12,.69,3.1,0.012,0.30,SST,N
0.094,2.39,80050,.63,15.9,2.2,.39,.1,.5,.54,14,1.3,5.9,0.013,0.33,MW,N
0.094,2.39,80050S,.63,15.9,1.9,.33,.1,.4,.40,10,.86,3.8,0.013,0.33,SST,N
0.094,2.39,80057,.63,15.9,3.4,.60,.2,.8,.43,11,1.6,7.3,0.014,0.36,MW,N
0.094,2.39,80057S,.63,15.9,2.9,.51,.1,.6,.32,8.2,1.1,4.8,0.014,0.36,SST,N
0.094,2.39,80064,.63,15.9,6.8,1.2,.2,.8,.29,7.3,2.1,9.6,0.016,0.41,MW,N
0.094,2.39,80064S,.63,15.9,5.8,1.0,.2,.7,.22,5.6,1.4,6.4,0.016,0.41,SST,N
0.094,2.39,80030,.75,19.1,.42,.07,.05,.2,1.3,34,.61,2.7,0.010,0.25,MW,N
0.094,2.39,80030S,.75,19.1,.36,.06,.04,.2,.99,25,.40,1.8,0.010,0.25,SST,N
0.094,2.39,80037,.75,19.1,.72,.13,.07,.3,1.0,26,.81,3.6,0.011,0.28,MW,N
0.094,2.39,80037S,.75,19.1,.61,.11,.06,.2,.77,20,.52,2.3,0.011,0.28,SST,N
0.094,2.39,80044,.75,19.1,1.2,.21,.1,.4,.80,20,1.1,4.7,0.012,0.30,MW,N
0.094,2.39,80044S,.75,19.1,1.0,.18,.09,.4,.59,15,.69,3.1,0.012,0.30,SST,N
0.094,2.39,80051,.75,19.1,1.8,.31,.1,.5,.69,18,1.3,5.9,0.013,0.33,MW,N
0.094,2.39,80051S,.75,19.1,1.5,.26,.1,.4,.51,13,.86,3.8,0.013,0.33,SST,N
0.094,2.39,80058,.75,19.1,2.7,.47,.2,.8,.55,14,1.6,7.3,0.014,0.36,MW,N
0.094,2.39,80058S,.75,19.1,2.3,.40,.1,.6,.40,10,1.1,4.8,0.014,0.36,SST,N
0.094,2.39,80065,.75,19.1,5.3,.93,.2,.8,.37,9.4,2.1,9.6,0.016,0.41,MW,N
0.094,2.39,80065S,.75,19.1,4.5,.79,.2,.7,.29,7.2,1.4,6.4,0.016,0.41,SST,N
0.094,2.39,80031,.88,22.2,.33,.06,.05,.2,1.7,43,.61,2.7,0.010,0.25,MW,N
0.094,2.39,80031S,.88,22.2,.28,.05,.04,.2,1.3,32,.40,1.8,0.010,0.25,SST,N
0.094,2.39,80038,.88,22.2,.60,.11,.07,.3,1.2,31,.81,3.6,0.011,0.28,MW,N
0.094,2.39,80038S,.88,22.2,.51,.09,.06,.2,.92,23,.52,2.3,0.011,0.28,SST,N
0.094,2.39,80045,.88,22.2,.98,.17,.1,.4,.98,25,1.1,4.7,0.012,0.30,MW,N
0.094,2.39,80045S,.88,22.2,.83,.15,.09,.4,.72,18,.69,3.1,0.012,0.30,SST,N
0.094,2.39,80052,.88,22.2,1.5,.25,.1,.5,.83,21,1.3,5.9,0.013,0.33,MW,N
0.094,2.39,80052S,.88,22.2,1.2,.22,.1,.4,.62,16,.86,3.8,0.013,0.33,SST,N
0.094,2.39,ZZ1-26,.88,22.2,2.2,.39,.2,1,.66,17,1.7,7.6,0.014,0.36,MW,N
0.094,2.39,80059S,.88,22.2,1.9,.33,.1,.6,.50,13,1.1,4.8,0.014,0.36,SST,N
0.094,2.39,80066,.88,22.4,4.4,.77,.2,.8,.44,11,2.1,9.6,0.016,0.41,MW,N
0.094,2.39,80066S,.88,22.4,3.7,.65,.2,.7,.34,8.7,1.4,6.4,0.016,0.41,SST,N
0.094,2.39,203-A,1.00,25.4,.29,.05,.06,.2,2.0,50,.62,2.7,0.010,0.25,MW,Z
0.094,2.39,80032S,1.00,25.4,.26,.05,.04,.2,1.4,35,.40,1.8,0.010,0.25,SST,N
0.094,2.39,80039,1.00,25.4,.51,.09,.07,.3,1.5,37,.81,3.6,0.011,0.28,MW,N
0.094,2.39,80039S,1.00,25.4,.43,.08,.06,.2,1.1,27,.52,2.3,0.011,0.28,SST,N
0.094,2.39,203-B,1.00,25.4,.75,.13,.1,.5,1.3,32,1.1,4.8,0.012,0.30,MW,Z
0.094,2.39,80046S,1.00,25.4,.69,.12,.09,.4,.87,22,.69,3.1,0.012,0.30,SST,N
0.094,2.39,80053,1.00,25.4,1.2,.22,.1,.5,.98,25,1.3,5.9,0.013,0.33,MW,N
0.094,2.39,80053S,1.00,25.4,1.0,.18,.1,.4,.72,18,.86,3.8,0.013,0.33,SST,N
0.094,2.39,ZZ3-28,1.00,25.4,1.8,.32,.2,1,.82,21,1.7,7.6,0.014,0.36,MW,N
0.094,2.39,80060S,1.00,25.4,1.6,.28,.1,.6,.57,15,1.1,4.8,0.014,0.36,SST,N
0.094,2.39,203-C,1.00,25.4,2.6,.45,.3,1,.63,16,1.9,8.7,0.015,0.38,MW,Z
0.094,2.39,80067,1.00,25.4,3.7,.65,.2,.8,.53,13,2.1,9.6,0.016,0.41,MW,N
0.094,2.39,80067S,1.00,25.4,3.1,.55,.2,.7,.41,10,1.4,6.4,0.016,0.41,SST,N
0.094,2.39,ZZ1-19,1.28,32.5,.89,.16,.2,.8,1.4,35,1.4,6.1,0.013,0.33,MW,N
0.109,2.77,O-161,.22,5.5,1.2,.21,.03,.1,.31,7.8,.39,1.7,0.009,0.23,MW,N
0.109,2.77,N-308,.25,6.4,.23,.04,.01,.04,.76,19,.19,.83,0.007,0.18,MW,N
0.109,2.77,450,.28,7.1,8.1,1.4,.2,.7,.16,4.1,1.5,6.6,0.014,0.36,MW,Z
0.109,2.77,O-65,.38,9.5,.20,.04,.02,.07,1.3,32,.27,1.2,0.008,0.20,MW,N
0.109,2.77,462,.38,9.5,1.1,.19,.06,.3,.59,15,.71,3.1,0.011,0.28,MW,Z
0.109,2.77,454,.41,10.3,2.4,.42,.1,.4,.37,9.3,.99,4.4,0.014,0.36,PB,N
0.109,2.77,ZZ2-40,.44,11.1,.22,.04,.02,.07,1.2,29,.27,1.2,0.008,0.20,MW,N
0.109,2.77,5376**,.47,11.9,.62,.11,.04,.2,.79,20,.53,2.3,0.010,0.25,MW,Z
0.109,2.77,N-175,.50,12.7,.08,.01,.01,.04,2.3,58,.19,.83,0.007,0.18,MW,N
0.109,2.77,ZZ2-19*,.75,19.1,.43,.08,.06,.3,1.5,38,.71,3.1,0.011,0.28,MW,N
0.109,2.77,5183**,1.25,31.8,.37,.06,.09,.4,2.2,57,.92,4.1,0.012,0.30,MW,N
0.109,2.77,466,1.47,37.3,1.4,.25,.3,1,1.2,31,2.0,9.0,0.016,0.41,MW,Z
0.120,3.05,80078,.38,9.5,7.9,1.4,.2,.9,.20,5.1,1.8,8.0,0.016,0.41,MW,N
0.120,3.05,80078S,.38,9.5,6.7,1.2,.2,.8,.16,4.0,1.2,5.4,0.016,0.41,SST,N
0.120,3.05,80090,.38,9.5,14,2.5,.2,.9,.15,3.9,2.4,11,0.018,0.46,MW,N
0.120,3.05,80090S,.38,9.5,12,2.1,.2,.8,.12,3.0,1.6,7.2,0.018,0.46,SST,N
0.120,3.05,80068,.50,12.7,2.0,.35,.1,.5,.60,15,1.3,5.9,0.014,0.36,MW,N
0.120,3.05,80068S,.50,12.7,1.7,.30,.1,.5,.44,11,.86,3.8,0.014,0.36,SST,N
0.120,3.05,80079,.50,12.7,4.4,.76,.2,.9,.37,9.3,1.8,8.0,0.016,0.41,MW,N
0.120,3.05,80079S,.50,12.7,3.7,.65,.2,.8,.28,7.2,1.2,5.4,0.016,0.41,SST,N
0.120,3.05,80091,.50,12.7,8.1,1.4,.3,1,.27,7.0,2.5,11,0.018,0.46,MW,N
0.120,3.05,80091S,.50,12.7,6.9,1.2,.2,.9,.21,5.4,1.7,7.4,0.018,0.46,SST,N
0.120,3.05,80103,.50,12.7,14,2.5,.4,2,.21,5.4,3.4,15,0.020,0.51,MW,N
0.120,3.05,80103S,.50,12.7,12,2.1,.3,1,.16,4.1,2.3,10,0.020,0.51,SST,N
0.120,3.05,80069,.63,15.9,1.5,.26,.1,.5,.80,20,1.3,5.8,0.014,0.36,MW,N
0.120,3.05,80069S,.63,15.9,1.3,.22,.09,.4,.59,15,.85,3.8,0.014,0.36,SST,N
0.120,3.05,80080,.63,15.9,3.1,.54,.2,.9,.52,13,1.8,8.0,0.016,0.41,MW,N
0.120,3.05,80080S,.63,15.9,2.6,.46,.2,.8,.40,10,1.2,5.4,0.016,0.41,SST,N
0.120,3.05,80092,.63,15.9,5.7,1.0,.3,1,.39,9.8,2.5,11,0.018,0.46,MW,N
0.120,3.05,80092S,.63,15.9,4.9,.85,.2,.9,.30,7.6,1.7,7.4,0.018,0.46,SST,N
0.120,3.05,80104,.63,15.9,10,1.8,.4,2,.30,7.5,3.4,15,0.020,0.51,MW,N
0.120,3.05,80104S,.63,15.9,8.6,1.5,.3,1,.23,5.8,2.3,10,0.020,0.51,SST,N
0.120,3.05,80115,.63,15.9,17,3.0,.4,2,.23,5.8,4.3,19,0.022,0.56,MW,N
0.120,3.05,80115S,.63,15.9,15,2.6,.3,2,.18,4.5,2.9,13,0.022,0.56,SST,N
0.120,3.05,80070,.75,19.1,1.1,.20,.1,.5,1.1,27,1.3,5.8,0.014,0.36,MW,N
0.120,3.05,80070S,.75,19.1,.97,.17,.09,.4,.78,20,.85,3.8,0.014,0.36,SST,N
0.120,3.05,80081,.75,19.1,2.3,.40,.2,.9,.69,18,1.8,8.0,0.016,0.41,MW,N
0.120,3.05,80081S,.75,19.1,2.0,.34,.2,.8,.54,14,1.2,5.4,0.016,0.41,SST,N
0.120,3.05,80093,.75,19.1,4.4,.76,.3,1,.51,13,2.5,11,0.018,0.46,MW,N
0.120,3.05,80093S,.75,19.1,3.7,.65,.2,.9,.39,10,1.7,7.4,0.018,0.46,SST,N
0.120,3.05,80105,.75,19.1,7.9,1.4,.4,2,.38,9.7,3.4,15,0.020,0.51,MW,N
0.120,3.05,80105S,.75,19.1,6.7,1.2,.3,1,.29,7.5,2.3,10,0.020,0.51,SST,N
0.120,3.05,80116,.75,19.1,13,2.3,.4,2,.30,7.6,4.3,19,0.022,0.56,MW,N
0.120,3.05,80116S,.75,19.1,11,2.0,.3,2,.23,5.9,2.9,13,0.022,0.56,SST,N
0.120,3.05,80071,.81,20.7,.97,.17,.1,.5,1.2,31,1.3,5.9,0.014,0.36,MW,N
0.120,3.05,80071S,.81,20.7,.82,.14,.1,.5,.91,23,.86,3.8,0.014,0.36,SST,N
0.120,3.05,80072,.88,22.2,.94,.16,.1,.5,1.3,32,1.3,5.8,0.014,0.36,MW,N
0.120,3.05,80072S,.88,22.2,.80,.14,.09,.4,.94,24,.85,3.8,0.014,0.36,SST,N
0.120,3.05,80082,.88,22.2,1.9,.33,.2,.9,.85,22,1.8,8.0,0.016,0.41,MW,N
0.120,3.05,80082S,.88,22.2,1.6,.28,.2,.8,.66,17,1.2,5.4,0.016,0.41,SST,N
0.120,3.05,80094,.88,22.2,3.6,.62,.3,1,.62,16,2.5,11,0.018,0.46,MW,N
0.120,3.05,80094S,.88,22.2,3.0,.53,.2,.9,.48,12,1.7,7.4,0.018,0.46,SST,N
0.120,3.05,80106,.88,22.2,6.4,1.1,.4,2,.47,12,3.4,15,0.020,0.51,MW,N
0.120,3.05,80106S,.88,22.2,5.4,.95,.3,1,.37,9.3,2.3,10,0.020,0.51,SST,N
0.120,3.05,80117,.88,22.2,11,1.9,.4,2,.37,9.3,4.3,19,0.022,0.56,MW,N
0.120,3.05,80117S,.88,22.2,9.2,1.6,.3,2,.28,7.2,2.9,13,0.022,0.56,SST,N
0.120,3.05,80073,1.00,25.4,.78,.14,.1,.5,1.5,39,1.3,5.8,0.014,0.36,MW,N
0.120,3.05,80073S,1.00,25.4,.66,.12,.09,.4,1.1,29,.85,3.8,0.014,0.36,SST,N
0.120,3.05,80083,1.00,25.4,1.6,.28,.2,.9,1.0,25,1.8,8.0,0.016,0.41,MW,N
0.120,3.05,80083S,1.00,25.4,1.4,.24,.2,.8,.77,20,1.2,5.4,0.016,0.41,SST,N
0.120,3.05,80095,1.00,25.4,3.1,.54,.3,1,.71,18,2.5,11,0.018,0.46,MW,N
0.120,3.05,80095S,1.00,25.4,2.6,.46,.2,.9,.55,14,1.7,7.4,0.018,0.46,SST,N
0.120,3.05,80107,1.00,25.4,5.6,.97,.4,2,.54,14,3.4,15,0.020,0.51,MW,N
0.120,3.05,80107S,1.00,25.4,4.7,.83,.3,1,.42,11,2.3,10,0.020,0.51,SST,N
0.120,3.05,80118,1.00,25.4,9.2,1.6,.4,2,.43,11,4.3,19,0.022,0.56,MW,N
0.120,3.05,80118S,1.00,25.4,7.8,1.4,.3,2,.33,8.4,2.9,13,0.022,0.56,SST,N
0.120,3.05,80074,1.13,28.6,.67,.12,.1,.5,1.8,45,1.3,5.8,0.014,0.36,MW,N
0.120,3.05,80074S,1.13,28.6,.57,.10,.09,.4,1.3,34,.85,3.8,0.014,0.36,SST,N
0.120,3.05,80084,1.13,28.6,1.4,.24,.2,.9,1.2,30,1.8,8.0,0.016,0.41,MW,N
0.120,3.05,80084S,1.13,28.6,1.1,.20,.2,.8,.92,23,1.2,5.4,0.016,0.41,SST,N
0.120,3.05,80096,1.13,28.6,2.7,.46,.3,1,.84,21,2.5,11,0.018,0.46,MW,N
0.120,3.05,80096S,1.13,28.6,2.3,.39,.2,.9,.65,16,1.7,7.4,0.018,0.46,SST,N
0.120,3.05,80108,1.13,28.6,4.8,.84,.4,2,.63,16,3.4,15,0.020,0.51,MW,N
0.120,3.05,80108S,1.13,28.6,4.1,.71,.3,1,.48,12,2.3,10,0.020,0.51,SST,N
0.120,3.05,80119,1.13,28.6,8.0,1.4,.4,2,.49,13,4.3,19,0.022,0.56,MW,N
0.120,3.05,80119S,1.13,28.6,6.8,1.2,.3,2,.38,9.7,2.9,13,0.022,0.56,SST,N
0.120,3.05,80075,1.25,31.8,.58,.10,.1,.5,2.1,52,1.3,5.8,0.014,0.36,MW,N
0.120,3.05,80075S,1.25,31.8,.50,.09,.09,.4,1.5,39,.85,3.8,0.014,0.36,SST,N
0.120,3.05,80085,1.25,31.8,1.3,.22,.2,.9,1.3,32,1.8,8.0,0.016,0.41,MW,N
0.120,3.05,80085S,1.25,31.8,1.1,.19,.2,.8,.99,25,1.2,5.4,0.016,0.41,SST,N
0.120,3.05,80097,1.25,31.8,2.4,.41,.3,1,.94,24,2.5,11,0.018,0.46,MW,N
0.120,3.05,80097S,1.25,31.8,2.0,.35,.2,.9,.73,19,1.7,7.4,0.018,0.46,SST,N
0.120,3.05,80109,1.25,31.8,4.2,.74,.4,2,.71,18,3.4,15,0.020,0.51,MW,N
0.120,3.05,80109S,1.25,31.8,3.6,.63,.3,1,.55,14,2.3,10,0.020,0.51,SST,N
0.120,3.05,80120,1.25,31.8,7.0,1.2,.4,2,.56,14,4.3,19,0.022,0.56,MW,N
0.120,3.05,80120S,1.25,31.8,6.0,1.0,.3,2,.44,11,2.9,13,0.022,0.56,SST,N
0.120,3.05,80076,1.38,34.9,.55,.10,.1,.5,2.2,55,1.3,5.8,0.014,0.36,MW,N
0.120,3.05,80076S,1.38,34.9,.47,.08,.09,.4,1.6,41,.85,3.8,0.014,0.36,SST,N
0.120,3.05,80086,1.38,34.9,1.1,.18,.2,.9,1.5,39,1.8,8.0,0.016,0.41,MW,N
